"1";"Rest in Peace";"no";"1"
"2";"En sommerfugl";"no";"1"
"3";"Tribute to a Butterfly";"no";"1"
"4";"Mørkets tjener";"no";"2"
"5";"De spurte meg";"no";"2"
"6";"Pray &#8230;";"en";"2"
"7";"Joker";"no";"2"
"8";"Aldri min";"no";"2"
"9";"Jeg har sett &#8230;";"no";"2"
"10";"Det svarte rommet";"no";"2"
"11";"Jeg er ikke redd &#8230;";"no";"2"
"12";"&#8230;";"no";"2"
"13";"Hvis &#8230;";"no";"2"
"14";"Mot et liv &#8230;";"no";"3"
"15";"She laughs, he cries";"en";"3"
"16";"Melankoli &#8230;";"no";"3"
        